texto,ODS
"La revolución digital ha supuesto un enorme avance que ha mejorado profundamente la interconexión y el almacenamiento de datos, así como el análisis de información, con una reducción de costes. La inteligencia artificial, especialmente, que permite a las máquinas y los ordenadores aprender y solucionar problemas por sí mismos, se ha convertido en un componente esencial para futuros desarrollos tanto en el ámbito político como económico. Es de vital importancia tomar en cuenta el marco",9
"En noviembre de 1934, el gobierno yugoslavo presentó una petición formal ante la Sociedad de Naciones para abordar el ""odioso crimen de Marsella"", lo que transformó la importancia del asesinato de Alexander en las relaciones internacionales. Volvió a centrar la atención en las disposiciones de seguridad del Pacto de la Liga, especialmente en el Artículo 11(2). Sin mencionar a Italia, los yugoslavos acusaron a ""ciertas autoridades húngaras"" de ayudar a los terroristas que asesinaron a Alexander. Tanto Rumanía como Checoslovaquia apoyaron a Yugoslavia. El llamamiento yugoslavo obligó a los británicos a enfrentarse a una serie de cuestiones complejas que habían esperado evitar y planteó cuestiones inevitables sobre las funciones de mantenimiento de la paz de la Liga, las tensiones entre las tradiciones jurídicas nacionales y las concepciones del crimen internacional, y el equilibrio entre ""la justicia y la moral internacionales"" y la preservación de la paz.",16
"Aunque ambos son importantes para combatir el desempleo, este capítulo se centra exclusivamente en las ayudas a la renta. Otros programas también se dirigen a determinados sectores que presentan tasas de desempleo elevadas (a veces cíclicas). No obstante, en algunas situaciones especiales, como las enfermedades o la incapacidad permanente, los fondos pueden retirarse antes de la jubilación.",8
"La basura plástica en el océano puede considerarse una ""preocupación común de la humanidad"". La sección Antecedentes describe la justificación del informe, señala que la basura plástica marina es una preocupación mundial y resume el proceso de la UNEA. Esto se ubica dentro del contexto de los marcos de gobernanza existentes, a escala internacional y regional, y se vincula con los Objetivos de Desarrollo Sostenible de la ONU en la Agenda 2030.",14
"Por tanto, merece la pena contar con profesores altamente cualificados que aborden las actitudes específicas de cada sexo dentro del aula. Muchos estudios y resultados de pruebas muestran diferencias de género en los niveles de competencia en estas materias. Según el Programa para la Evaluación Internacional de Alumnos (PISA) de la OCDE de 2012, que evalúa las competencias en lectura, matemáticas y ciencias de los jóvenes de 15 y 16 años, los alumnos de los países de la OCDE obtienen, por término medio, mejores resultados que los de la región de Asia y el Pacífico (cuadro 2.1).",5
"Aborda los resultados educativos de estos grupos y analiza los principales programas dirigidos a ellos. El capítulo hace especial hincapié en áreas prioritarias para Chile, como las formas eficaces de utilizar recursos adicionales para los alumnos desfavorecidos, el seguimiento de los resultados del aprendizaje de grupos específicos de alumnos y el reflejo de las culturas indígenas en el sistema educativo chileno. El capítulo también revisa las estrategias para la educación rural y la provisión y financiación de la educación especial. En primer lugar, se describen los resultados educativos de estos grupos de alumnos. En segundo lugar, se examinan los principales programas dirigidos a grupos específicos y se analizan sus puntos fuertes y sus dificultades. Por último, el capítulo ofrece algunas recomendaciones políticas específicas. ",4
"Bangkok promueve la educación y la participación (ODS 4,6.a y 6.b) de las comunidades locales en los proyectos de tratamiento de aguas residuales y fomenta la reutilización de las aguas residuales tratadas en la agricultura y la industria. Esto requiere una base que se fundamente en los derechos humanos de la población urbana al agua potable, el saneamiento y la higiene. Org/course/detail/4.",6
"Según el SNC, podría ocurrir un aumento de la temperatura superficial del mar y del nivel medio del mar, y cambios en los eventos meteorológicos y climáticos extremos. La Organización Meteorológica Mundial declaró el período 2001-2010 como una década de extremos climáticos. Montenegro también se vio afectado por fenómenos meteorológicos extremos en este período.",13
"El argumento puede ser menos aplicable a las zonas rurales de Asia Central. En los cuatro países de los que tenemos datos, los trabajadores pobres representan una parte importante del total de pobres. Aunque los niños de familias con padres que trabajan suelen estar en mejor situación, sobre todo si el progenitor tiene estudios superiores, la proporción de trabajadores pobres sigue siendo significativa debido a los bajos salarios en muchos sectores, especialmente en la agricultura y el sector público. Los salarios no son suficientes para sacar a las familias de la pobreza (Baschieri y Falkingham, 2007). En Uzbekistán, el 50% de los pobres trabajan en el sector público, son empleados mal pagados o autónomos (UNICEF 2009a). En Kirguistán, el 70% de los pobres viven en un hogar cuyo cabeza de familia está empleado (Banco Mundial, de próxima publicación).",1
"Los gráficos 2.7, 2.8 y 2.9 a continuación proporcionan un análisis más profundo de los factores que tienen una influencia en la desigualdad a través de la descomposición de las contribuciones a la desigualdad general por parte de las distintas fuentes de ingresos. Es importante destacar que estas descomposiciones son ejercicios de comparación estática, que determinan las contribuciones de los factores volviendo a cada uno de los tres años en lugar de investigar como los cambios de los factores han impactado en",10
"Aunque la parte de los productos alimentarios y agrícolas en el comercio mundial es pequeña y está disminuyendo, el comercio agrícola sigue desempeñando un papel importante tanto para el desarrollo económico general como para la seguridad alimentaria en muchas economías en desarrollo y emergentes. Además, en las negociaciones comerciales multilaterales, las tensiones en torno a la agricultura han causado una y otra vez dificultades particulares y retrasado el progreso en otros sectores. El Acuerdo sobre la Agricultura (AoA) concluido en la Ronda Uruguay fue un hito en los esfuerzos multilaterales por crear disciplinas operacionalmente efectivas que rijan el comercio agrícola. Establecía normas firmes y compromisos de reducción cuantitativa claramente especificados.",2
"Como se muestra en el capítulo anterior, las sumas implicadas pueden ser considerables, alcanzando hasta el 50% de los costes de inversión a nivel de planta para las nuevas inversiones en generación de energía, en particular para la eólica marina, que sufre los elevados costes de conexión a la red. No obstante, la cuestión puede tratarse desde un punto de vista institucional con los marcos reguladores existentes. Partiendo de los capítulos anteriores, de carácter más técnico, este capítulo examina la idoneidad de las disposiciones actuales y las futuras evoluciones necesarias en los sectores eléctricos de los países de la OCDE para optimizar la prestación de ""servicios de flexibilidad"" ante la elevada volatilidad de la carga y la gran cantidad de energías renovables variables.",7
"La ventaja relativamente pequeña de las mujeres en África en 2010-2015 es principalmente una consecuencia del impacto diferencial de la epidemia de VIH/SIDA en los niveles de mortalidad por sexo, con una prevalencia estimada del VIH mayor entre las mujeres que entre los hombres. En las regiones más desarrolladas, la ventaja femenina es mayor en Europa (7,4 años o 11,3 por ciento) que en América del Norte (4,7 años o 6,1 por ciento) y Oceanía, que incluye Australia y Nueva Zelanda. La tasa de mortalidad infantil, también conocida como ""tasa de mortalidad de menores de cinco años""1, disminuyó a un ritmo notable de alrededor del 3 por ciento anual entre 1990 y 2015.",3
"Ha habido un movimiento gradual hacia el reconocimiento de problemas de seguridad más diversos como amenazas de seguridad para actores más diversos en fronteras más amplias. Si bien la multidimensionalidad de la seguridad ahora se reconoce ampliamente en el discurso de seguridad, sus impactos y desafíos para el derecho internacional aún no se han examinado completamente. En particular, la concepción ampliada de la seguridad ha planteado desafíos al sistema de seguridad colectiva de la ONU. Este artículo considera los desafíos que se le plantean a la seguridad colectiva, con respecto a cuatro objetos diferentes de seguridad: seguridad nacional, seguridad internacional, seguridad humana y seguridad de régimen. Discute los límites de la seguridad colectiva para responder de manera efectiva a la concepción ampliada de la seguridad dentro del marco existente del derecho internacional, y revisa enfoques de seguridad alternativos, evaluando su potencial para complementar la seguridad colectiva al tratar con diversos objetos y amenazas de seguridad.",16
"Sin embargo, el estudio no analizó el costo del sistema y los autores no especulan si creen que las intervenciones ahorraron dinero en general. El costo incremental por año de vida ajustado por calidad ganado fue del PIB 64 097 entre la atención domiciliaria y la unidad de accidentes cerebrovasculares, lo que lleva a los autores a concluir que las perspectivas de costos son importantes cuando se evalúan los servicios de accidentes cerebrovasculares y que los mejores resultados de salud en la unidad de accidentes cerebrovasculares vienen en un mayor costo (actualmente por encima del umbral habitual para aceptar nuevas tecnologías en Inglaterra). Este resultado es particularmente probable que surja en sistemas donde la atención hospitalaria y social es brindada por agencias separadas. En Inglaterra y Gales, los servicios de salud tienen el poder de multar a los gobiernos locales con una tarifa diaria por demoras en el alta causadas por fallas en la atención social local. Un modelo alternativo fue que se alentó a los hospitales locales y los servicios de atención social a trabajar en colaboración mediante la solicitud de subvenciones especiales para mejorar los servicios comunitarios.",3
"De esos países, todos reportan algunos requisitos para el presupuesto de género en el nivel central de gobierno (Figura 4.12). Varios países informan haber establecido estos requisitos en regiones (Egipto, Jordania y la Autoridad Palestina), Egipto y la Autoridad Palestina también informan haberlo hecho a un nivel más local. En la Autoridad Palestina, estos requisitos se implementan en diferentes niveles y se están expandiendo lentamente a todos los sectores.",5
